,permno,DATE,pred,RET
0,14593,202112,0.02070732,0.074229
1,14593,202109,0.02088271,-0.068037
2,10107,202111,0.020505536,-0.001236
3,10107,202112,0.020124014,0.017333
4,14593,202111,0.020124977,0.10494
5,14593,202108,0.020210095,0.042438
6,14593,202110,0.020189729,0.058657
7,10107,202109,0.020168677,-0.066119
8,14593,202107,0.02016283,0.064982
9,14593,202101,0.020153074,-0.005502
10,14593,202102,0.02014164,-0.079532
11,14593,202009,0.020133374,-0.102526
12,14593,202105,0.020126324,-0.050434
13,10107,202108,0.020121273,0.061528
14,10107,202110,0.020117996,0.176291
15,14593,202106,0.020116616,0.099109
16,14593,202104,0.02011725,0.076218
17,10107,202107,0.020118766,0.051717
18,14593,202103,0.020122569,0.00734
19,14593,202012,0.020127043,0.114574
20,14593,202010,0.024864586,-0.060012
21,10107,202105,0.019465517,-0.007693
22,10107,202106,0.019982401,0.084989
23,14593,202011,0.01967454,0.09549
24,14593,202008,0.019983388,0.216309
25,84788,202112,0.02005761,-0.049252
26,10107,202104,0.020055313,0.069602
27,84788,202109,0.020098707,-0.053518
28,10107,202103,0.020140324,0.014588
29,10107,202102,0.020163901,0.004225
30,84788,202105,0.020186739,-0.07047
31,84788,202107,0.020210173,-0.032722
32,84788,202009,0.020231124,-0.087579
33,84788,202111,0.020250458,0.039924
34,10107,202009,0.020269496,-0.067397
35,84788,202108,0.02028792,0.043034
36,10107,202101,0.020305859,0.042892
37,84788,202110,0.02032347,0.026602
38,84788,202101,0.020340815,-0.015576
39,84788,202106,0.020357912,0.067355
40,10107,202012,0.020374782,0.039006
41,84788,202102,0.020391442,-0.035328
42,10107,202010,0.020407941,-0.03737
43,84788,202012,0.02042415,0.028058
44,84788,202008,0.02044108,0.090461
45,84788,202010,0.020573417,-0.035754
46,14593,202007,0.020462655,0.165132
47,84788,202104,0.020481966,0.120663
48,84788,202103,0.020489099,0.000372
49,10107,202008,0.020509783,0.10258
50,10107,202007,0.020527426,0.007371
51,10107,202011,0.020539578,0.060058
52,84788,202011,0.020555325,0.04344
53,10107,202006,0.02057372,0.110559
54,84788,202007,0.020585341,0.147114
55,14593,202006,0.02061738,0.147386
56,10107,202005,0.020905726,0.025389
57,14593,202002,0.020589467,-0.11431
58,10107,202002,0.020614771,-0.045292
59,14593,202001,0.020618048,0.05401
60,14593,202005,0.050765414,0.084956
61,84788,202005,0.021131812,-0.012785
62,10107,202003,-0.07658191,-0.026541
63,84788,202006,0.018350748,0.129567
64,10107,202001,0.019297794,0.079455
65,10107,202004,0.13559061,0.136326
66,14593,202003,-0.08616636,-0.069761
67,14593,201912,0.01887481,0.098784
68,10107,201912,0.019380137,0.041749
69,93436,202112,0.01831914,-0.076855
70,93436,202111,0.018524073,0.027612
71,14593,201911,0.019351833,0.077424
72,14593,202004,0.13236286,0.155374
73,14593,201809,0.021680206,-0.008303
74,10107,201911,0.020067181,0.059427
75,14593,201810,0.019465918,-0.030478
76,10107,201910,0.019719431,0.031216
77,10107,201909,0.020078145,0.008487
78,10107,201908,0.020120932,0.015044
79,14593,201811,0.020167107,-0.180709
80,10107,201907,0.020279404,0.017244
81,10107,201905,0.020352567,-0.049464
82,84788,202002,0.020399105,-0.062214
83,14593,201910,0.020459296,0.110684
84,84788,201809,0.020507963,-0.004824
85,84788,202004,0.13348694,0.2689
86,84788,201810,0.022130724,-0.202192
87,14593,201908,0.020904142,-0.01657
88,84788,201905,0.02036041,-0.078613
89,10107,201906,0.02047169,0.083118
90,14593,201909,0.02068923,0.072962
91,14542,202111,0.020662382,-0.039242
92,84788,202003,-0.12847629,0.035021
93,84788,201907,0.018960468,-0.014179
94,14542,202109,0.01960448,-0.083847
95,84788,201908,0.018364027,-0.048474
96,14593,201905,0.01864345,-0.123735
