,permno,DATE,pred,RET
0,14593,202112,0.020436443,0.074229
1,14593,202109,0.020436116,-0.068037
2,10107,202111,0.027107004,-0.001236
3,10107,202112,0.027093556,0.017333
4,14593,202111,0.020440854,0.10494
5,14593,202108,0.020430386,0.042438
6,14593,202110,0.020436894,0.058657
7,10107,202109,0.027114011,-0.066119
8,14593,202107,0.020431109,0.064982
9,14593,202101,0.01963394,-0.005502
10,14593,202102,0.019821309,-0.079532
11,14593,202009,0.01943054,-0.102526
12,14593,202105,0.020390999,-0.050434
13,10107,202108,0.027113143,0.061528
14,10107,202110,0.027102757,0.176291
15,14593,202106,0.020383928,0.099109
16,14593,202104,0.0204062,0.076218
17,10107,202107,0.02711241,0.051717
18,14593,202103,0.020248184,0.00734
19,14593,202012,0.019526824,0.114574
20,14593,202010,0.019450415,-0.060012
21,10107,202105,0.027133456,-0.007693
22,10107,202106,0.027124483,0.084989
23,14593,202011,0.019462071,0.09549
24,14593,202008,0.019407922,0.216309
25,84788,202112,0.027932093,-0.049252
26,10107,202104,0.02714972,0.069602
27,84788,202109,0.027921412,-0.053518
28,10107,202103,0.027089398,0.014588
29,10107,202102,0.026739124,0.004225
30,84788,202105,0.027958166,-0.07047
31,84788,202107,0.027925465,-0.032722
32,84788,202009,0.026989382,-0.087579
33,84788,202111,0.02794239,0.039924
34,10107,202009,0.025813606,-0.067397
35,84788,202108,0.027913846,0.043034
36,10107,202101,0.026237331,0.042892
37,84788,202110,0.027935777,0.026602
38,84788,202101,0.027318992,-0.015576
39,84788,202106,0.027939666,0.067355
40,10107,202012,0.02596667,0.039006
41,84788,202102,0.02757316,-0.035328
42,10107,202010,0.025841486,-0.03737
43,84788,202012,0.027135879,0.028058
44,84788,202008,0.026966285,0.090461
45,84788,202010,0.027035989,-0.035754
46,14593,202007,0.01937183,0.165132
47,84788,202104,0.027978722,0.120663
48,84788,202103,0.027923942,0.000372
49,10107,202008,0.025800318,0.10258
50,10107,202007,0.025745578,0.007371
51,10107,202011,0.025867488,0.060058
52,84788,202011,0.02704872,0.04344
53,10107,202006,0.025711447,0.110559
54,84788,202007,0.026912728,0.147114
55,14593,202006,0.019349273,0.147386
56,10107,202005,0.025672842,0.025389
57,14593,202002,0.015360877,-0.11431
58,10107,202002,-0.0017436557,-0.045292
59,14593,202001,0.015360121,0.05401
60,14593,202005,0.019329306,0.084956
61,84788,202005,0.026750632,-0.012785
62,10107,202003,0.011289136,-0.026541
63,84788,202006,0.026787795,0.129567
64,10107,202001,-0.0017287275,0.079455
65,10107,202004,0.025586896,0.136326
66,14593,202003,0.016796164,-0.069761
67,14593,201912,0.015357621,0.098784
68,10107,201912,-0.0017215982,0.041749
69,93436,202112,0.02392358,-0.076855
70,93436,202111,0.023925094,0.027612
71,14593,201911,0.015355102,0.077424
72,14593,202004,0.019298874,0.155374
73,14593,201809,0.0010687923,-0.008303
74,10107,201911,-0.0017189682,0.059427
75,14593,201810,0.0010706913,-0.030478
76,10107,201910,-0.001725181,0.031216
77,10107,201909,-0.0017373329,0.008487
78,10107,201908,-0.0017417511,0.015044
79,14593,201811,0.0010774406,-0.180709
80,10107,201907,-0.0017377557,0.017244
81,10107,201905,-0.0017202515,-0.049464
82,84788,202002,0.0007085642,-0.062214
83,14593,201910,0.015348157,0.110684
84,84788,201809,0.0012099929,-0.004824
